Pagina,Patron_Censura,Texto_Detectado,Contexto_60chars,Personas_en_Pagina
639,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"Seventeenth Judicial Circuit, Broward County, Florida; and Jane Doe No. 102 v. Jeffrey Epstein, Case No. 09-80656CIV-MarraJohns",Jeffrey Epstein; Alan Dershowitz
644,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"resented Ms. Giuffre as a party in the litigation styled as Jane Doe No. 102 v. Jeffrey Epstein, Case No. 09-80656-CIV-MarraJohn",Jeffrey Epstein; Alan Dershowitz
644,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"ents Ms. Giuffre as a non-party in the litigation styled as Jane Doe #1 and Jane Doe #2 v. United States, Case No. 08-80736-CIV-",Jeffrey Epstein; Alan Dershowitz
644,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"as a non-party in the litigation styled as Jane Doe #1 and Jane Doe #2 v. United States, Case No. 08-80736-CIV-Marra, Southern",Jeffrey Epstein; Alan Dershowitz
644,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"ents Ms. Giuffre as a non-party in the litigation styled as Jane Doe #1 and Jane Doe #2 v. United States, Case No. 08-80736-CIV-",Jeffrey Epstein; Alan Dershowitz
644,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"as a non-party in the litigation styled as Jane Doe #1 and Jane Doe #2 v. United States, Case No. 08-80736-CIV-Marra, Southern",Jeffrey Epstein; Alan Dershowitz
649,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"e U.S. District Court for the Southern District of Florida, Jane Doe 1 and Jane Doe 2 v. United States of America, 08-cv-80736-K",Jeffrey Epstein
649,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"Court for the Southern District of Florida, Jane Doe 1 and Jane Doe 2 v. United States of America, 08-cv-80736-KAM, as the high",Jeffrey Epstein
800,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"ging pursuant to Local Civil Rule 26.2c. Correspondence re: Jane Doe #1 and Jane Doe #2 v. United States CVRA case, Case no. 08-",Virginia Giuffre
800,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"Local Civil Rule 26.2c. Correspondence re: Jane Doe #1 and Jane Doe #2 v. United States CVRA case, Case no. 08-80736-CIV-Marra,",Virginia Giuffre
803,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"gging pursuant to Local Civil Rule 26.2c. Correspondence re:Jane Doe No. 102 v. Jeffrey Epstein Epstein case, Case No. 09-80656-",Jeffrey Epstein; Virginia Giuffre
815,\b[jJ]ane\s+[dD]oe\b,Jane Doe,tiff and Defendant in 2011-2015 at issue in this matter. 7. Jane Doe 2 Case 1:15-cv-07433-LAP Document 1320-40 Filed 010324 Page,
816,\b[jJ]ane\s+[dD]oe\b,Jane Doe,unknown at this time Telephone number unknown at this time Jane Doe 2 Case 1:15-cv-07433-LAP Document 1320-40 Filed 010324 Page,Alan Dershowitz
818,\b[jJ]ane\s+[dD]oe\b,Jane Doe,unknown at this time Telephone number unknown at this time Jane Doe 2 Jane Doe 2Jane Doe 2 Case 1:15-cv-07433-LAP Document 1320,Jeffrey Epstein; Annie Farmer
818,\b[jJ]ane\s+[dD]oe\b,Jane Doe,this time Telephone number unknown at this time Jane Doe 2 Jane Doe 2Jane Doe 2 Case 1:15-cv-07433-LAP Document 1320-40 Filed 0,Jeffrey Epstein; Annie Farmer
820,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"ssue, including Plaintiffs activities during 1996 2002. 37. Jane Doe 2 Jane Doe 2 Case 1:15-cv-07433-LAP Document 1320-40 Filed",
820,\b[jJ]ane\s+[dD]oe\b,Jane Doe,ding Plaintiffs activities during 1996 2002. 37. Jane Doe 2 Jane Doe 2 Case 1:15-cv-07433-LAP Document 1320-40 Filed 010324 Page,
821,\b[jJ]ane\s+[dD]oe\b,Jane Doe,1996 2002. 43. Dr. Karen Kutikoff 12957 Palms W Drive #101 Jane Doe 2 Jane Doe 2 - Case 1:15-cv-07433-LAP Document 1320-40 File,
821,\b[jJ]ane\s+[dD]oe\b,Jane Doe,43. Dr. Karen Kutikoff 12957 Palms W Drive #101 Jane Doe 2 Jane Doe 2 - Case 1:15-cv-07433-LAP Document 1320-40 Filed 010324 Pa,
823,\b[jJ]ane\s+[dD]oe\b,Jane Doe,ledge concerning Plaintiffs false claims against Defendant. Jane Doe 2 Jane Doe 2 Case 1:15-cv-07433-LAP Document 1320-40 Filed,
823,\b[jJ]ane\s+[dD]oe\b,Jane Doe,rning Plaintiffs false claims against Defendant. Jane Doe 2 Jane Doe 2 Case 1:15-cv-07433-LAP Document 1320-40 Filed 010324 Page,
829,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"G.Cassell, dated October 16, 2015 and October 17, 2015. 6. Jane Doe #1 and #2 v. United States,U.S. District Court for the Sout",
862,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Questions About and Nadia Marcinkova Jane Doe 2 Case 1:15-cv-07433-LAP Document 1320-5 Filed 010324 Page,
917,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"Florida 33160 C M .A., Case No: 08-CV-80811 14 Attorney for Jane Doe 2, 3, 4, 5, Plaintiff, 6, and 7. Vs 15 JEFFR EY EPSTEIN, 16",Jeffrey Epstein
917,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"d Plaintiff, 19 Fort Lauderdale, Florida 33301 Attorney for Jane Doe and E.W . Vs 20 And L.M. 21 JEFFREY EPSTE IN, PODHURST ORSE",Jeffrey Epstein
924,\bREDACTED\b,REDACTED,Defendant. ________________________________ PLAINTIFFS NON-REDACTED MOTION FOR LEAVE TO SERVE THREE DEPOSITION SUBPOENAS BY MEA,Jeffrey Epstein; Ghislaine Maxwell; Virginia Giuffre
928,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"l 13, 2010 Dep. Tr. at p. 33-34 GIUFFRE001173 Q Do you know Jane Doe-102 Virginia Giuffre A Fifth. See McCawley Decl. at Exhibit",Jeffrey Epstein; Ghislaine Maxwell; Virginia Giuffre
929,\b[jJ]ane\s+[dD]oe\b,Jane Doe,frey Epstein and Ghislaine Maxwells sexual interaction with Jane Doe-102 when she was a minor Q This is one of many underage min,Jeffrey Epstein; Ghislaine Maxwell; Jean-Luc Brunel
