Pagina,Palabras,Menciones_Censuradas_REDACTED,Evasiones_Detectadas,Tipos_Evasion,Indicador_Positivo,Indicador_Negativo,Indice_Sentimiento,Clasificacion_Sentimiento,Hits_Propiedades,Hits_Aviones_Logistica,Hits_Abuso_Menores,Hits_Ambito_Legal,Tema_Dominante,Años_Mencionados,Personas_Presentes,Personas_Count,Fuente
1807,219,0,0,,0,0,0.0,Neutral,0,0,0,0,Sin tema dominante,1998; 1999; 2011,,0,TXT Consolidado
1808,182,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,2002,,0,TXT Consolidado
1809,206,0,0,,0,0,0.0,Neutral,0,0,0,0,Sin tema dominante,1994,,0,TXT Consolidado
1810,176,0,0,,1,0,1.0,Positivo,0,0,0,2,Ámbito Legal,2014,,0,TXT Consolidado
1811,222,0,0,,0,1,-1.0,Altamente Negativo,0,0,4,0,Abuso / Menores,,Jeffrey Epstein,1,TXT Consolidado
1812,185,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
1813,217,0,0,,2,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
1814,230,0,0,,2,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
1815,173,0,0,,0,1,-1.0,Altamente Negativo,0,0,0,2,Ámbito Legal,,Jeffrey Epstein,1,TXT Consolidado
1816,276,0,0,,0,0,0.0,Neutral,0,0,0,2,Ámbito Legal,2006,,0,TXT Consolidado
1817,247,1,0,,0,0,0.0,Neutral,0,0,0,1,Ámbito Legal,2008; 2016,,0,TXT Consolidado
1818,187,0,0,,0,0,0.0,Neutral,0,0,0,4,Ámbito Legal,2013,,0,TXT Consolidado
1819,204,0,0,,0,0,0.0,Neutral,0,0,0,3,Ámbito Legal,,,0,TXT Consolidado
1820,187,3,0,,0,0,0.0,Neutral,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
1821,22,0,0,,0,0,0.0,Neutral,0,0,0,0,Sin tema dominante,2016,,0,TXT Consolidado
1822,145,0,0,,0,0,0.0,Neutral,0,0,0,0,Sin tema dominante,2023; 2024,,0,TXT Consolidado
1823,21,0,0,,0,0,0.0,Neutral,0,0,0,1,Ámbito Legal,,,0,TXT Consolidado
1824,121,0,0,,1,0,1.0,Positivo,0,0,0,1,Ámbito Legal,2016,Ghislaine Maxwell,1,TXT Consolidado
